BGC_ID - matches antiSMASHv5 files,BGC Label - matches cytoscape network label,S. species,GCF_ID in matrix file,tier 1 - BiG-SCAPE classification,tier 2 - BiG-SCAPE product prediction,tier 3 - BGC network module,tier 4 - GCF
SaCNY260_FJ.contig_10.region002,SaCNY260_FJ_c10_002,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH713_RS.contig_8.region001,SaCNH713_RS_c8_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH996_SC.contig_7.region001,SaCNH996_SC_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH962_SC.contig_5.region001,SaCNH962_SC_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNT798_HI.contig_6.region001,SaCNT798_HI_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNR425_GU.contig_7.region001,SaCNR425_GU_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNT857_HI.contig_11.region001,SaCNT857_HI_c11_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNY673_MD.contig_6.region001,SpCNY673_MD_c6_001,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SpCNT584_FJ.contig_1.region001,SpCNT584_FJ_c1_001,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNH941_SC.contig_6.region001,SaCNH941_SC_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS243_PL.contig_6.region001,SaCNS243_PL_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY282_FJ.contig_7.region001,SaCNY282_FJ_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNB527_BA.contig_2.region001,SaCNB527_BA_c2_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNT124_FJ.contig_2.region002,SpCNT124_FJ_c2_002,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNQ884_GU.contig_16.region001,SaCNQ884_GU_c16_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS744_FJ.contig_5.region001,SaCNS744_FJ_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNQ884_GU.contig_4.region002,SaCNQ884_GU_c4_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNP193_SC.contig_6.region002,SaCNP193_SC_c6_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH713_RS.contig_0.region002,SaCNH713_RS_c0_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT798_HI.contig_4.region001,SaCNT798_HI_c4_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS848_FJ.contig_1.region002,SaCNS848_FJ_c1_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNP105_SC.contig_6.region001,SaCNP105_SC_c6_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY685_YU.contig_7.region001,SaCNY685_YU_c7_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT857_HI.contig_5.region001,SaCNT857_HI_c5_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH905_BA.contig_2.region002,SaCNH905_BA_c2_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS051_PL.contig_2.region002,SaCNS051_PL_c2_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNB527_BA.contig_13.region001,SaCNB527_BA_c13_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY486_PV.contig_1.region001,SaCNY486_PV_c1_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH646_BA.contig_0.region002,SaCNH646_BA_c0_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH962_SC.contig_4.region001,SaCNH962_SC_c4_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH963_SC.contig_5.region002,SaCNH963_SC_c5_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY234_FJ.contig_2.region003,SaCNY234_FJ_c2_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNQ748_GU.contig_6.region002,SaCNQ748_GU_c6_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS673_FJ.contig_4.region002,SaCNS673_FJ_c4_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH718_RS.contig_2.region003,SaCNH718_RS_c2_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH643_BA.contig_1.region006,SaCNH643_BA_c1_006,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY260_FJ.contig_2.region004,SaCNY260_FJ_c2_004,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNR921_PL.contig_2.region002,SaCNR921_PL_c2_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT800_HI.contig_1.region001,SaCNT800_HI_c1_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS205_PL.contig_0.region018,SaCNS205_PL_c0_018,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY244_FJ.contig_2.region004,SaCNY244_FJ_c2_004,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH996_SC.contig_1.region003,SaCNH996_SC_c1_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY690_YU.contig_2.region001,SaCNY690_YU_c2_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY280_FJ.contig_2.region002,SaCNY280_FJ_c2_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS299_PL.contig_0.region003,SaCNS299_PL_c0_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY679_YU.contig_6.region001,SaCNY679_YU_c6_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY230_FJ.contig_1.region003,SaCNY230_FJ_c1_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS296_PL.contig_6.region001,SaCNS296_PL_c6_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY256_FJ.contig_4.region002,SaCNY256_FJ_c4_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNB458_BA.contig_3.region002,SaCNB458_BA_c3_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS744_FJ.contig_2.region003,SaCNS744_FJ_c2_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS243_PL.contig_1.region004,SaCNS243_PL_c1_004,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT005_FJ.contig_4.region001,SaCNT005_FJ_c4_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY694_YU.contig_2.region001,SaCNY694_YU_c2_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNR425_GU.contig_1.region003,SaCNR425_GU_c1_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT850_HI.contig_9.region001,SaCNT850_HI_c9_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS342_FJ.contig_2.region003,SaCNS342_FJ_c2_003,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY282_FJ.contig_2.region002,SaCNY282_FJ_c2_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT849_HI.contig_4.region002,SaCNT849_HI_c4_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT799_HI.contig_8.region001,SaCNT799_HI_c8_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH877_BA.contig_4.region002,SaCNH877_BA_c4_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS325_PL.contig_4.region001,SaCNS325_PL_c4_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY237_FJ.contig_1.region002,SaCNY237_FJ_c1_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaDSM45545_FJ.contig_0.region011,SaDSM45545_FJ_c0_011,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY011_BA.contig_7.region001,SaCNY011_BA_c7_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNS820_FJ.contig_0.region004,SaCNS820_FJ_c0_004,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNT859_HI.contig_2.region002,SaCNT859_HI_c2_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNR107_GU.contig_2.region006,SaCNR107_GU_c2_006,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNY231_FJ.contig_3.region002,SaCNY231_FJ_c3_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH941_SC.contig_7.region002,SaCNH941_SC_c7_002,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH964_SC.contig_6.region001,SaCNH964_SC_c6_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH996B_SC.contig_1.region001,SaCNH996B_SC_c1_001,arenicola,M1_GCF2047,Others,siderophore,M1,GCF2047
SaCNH643_BA.contig_24.region001,SaCNH643_BA_c24_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNX891_PM.contig_18.region001,SaCNX891_PM_c18_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNY282_FJ.contig_19.region001,SaCNY282_FJ_c19_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNP105_SC.contig_28.region001,SaCNP105_SC_c28_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNS820_FJ.contig_13.region001,SaCNS820_FJ_c13_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNR510_GU.contig_7.region001,SpCNR510_GU_c7_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNS051_PL.contig_29.region001,SaCNS051_PL_c29_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNT855_HI.contig_4.region001,SpCNT855_HI_c4_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNS103_PL.contig_8.region001,SpCNS103_PL_c8_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
StCNB536_BA.contig_7.region001,StCNB536_BA_c7_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SpCNS801_FJ.contig_1.region001,SpCNS801_FJ_c1_001,vitiensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNB527_BA.contig_14.region001,SaCNB527_BA_c14_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNS673_FJ.contig_18.region001,SaCNS673_FJ_c18_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNT084_FJ.contig_10.region001,SpCNT084_FJ_c10_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNY231_FJ.contig_21.region001,SaCNY231_FJ_c21_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNY646_RS.contig_1.region001,SpCNY646_RS_c1_001,mooreana,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNY331_SC.contig_8.region001,SpCNY331_SC_c8_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNY498_PV.contig_9.region001,SpCNY498_PV_c9_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNS342_FJ.contig_24.region001,SaCNS342_FJ_c24_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNT124_FJ.contig_32.region001,SpCNT124_FJ_c32_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNR921_PL.contig_9.region001,SaCNR921_PL_c9_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNT584_FJ.contig_50.region001,SpCNT584_FJ_c50_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNS860_FJ.contig_10.region001,SpCNS860_FJ_c10_001,oceanensis,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
StCNB440_BA.contig_0.region016,StCNB440_BA_c0_016,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SaCNQ748_GU.contig_14.region001,SaCNQ748_GU_c14_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNY703_MD.contig_15.region001,SpCNY703_MD_c15_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNY256_FJ.contig_14.region001,SaCNY256_FJ_c14_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SpCNT603_FJ.contig_8.region001,SpCNT603_FJ_c8_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNR425_GU.contig_16.region001,SaCNR425_GU_c16_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNS205_PL.contig_0.region025,SaCNS205_PL_c0_025,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNH996B_SC.contig_63.region001,SaCNH996B_SC_c63_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNY486_PV.contig_44.region001,SaCNY486_PV_c44_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SpDSM45548_FJ.contig_1.region009,SpDSM45548_FJ_c1_009,vitiensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNT131_FJ.contig_2.region002,SpCNT131_FJ_c2_002,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
StCNH898_BA.contig_8.region001,StCNH898_BA_c8_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SpCNS237_PL.contig_1.region002,SpCNS237_PL_c1_002,mooreana,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNR107_GU.contig_7.region001,SaCNR107_GU_c7_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SpCNY673_MD.contig_10.region001,SpCNY673_MD_c10_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNH718_RS.contig_22.region001,SaCNH718_RS_c22_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SpCNS996_FJ.contig_12.region001,SpCNS996_FJ_c12_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
StCNY681_YU.contig_9.region001,StCNY681_YU_c9_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SpCNY202_SC.contig_5.region001,SpCNY202_SC_c5_001,cortesiana,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNH905_BA.contig_21.region001,SaCNH905_BA_c21_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaDSM45545_FJ.contig_0.region018,SaDSM45545_FJ_c0_018,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
StCNS416_BA.contig_0.region001,StCNS416_BA_c0_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SpCNT403_FJ.contig_9.region001,SpCNT403_FJ_c9_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
StCNB476_BA.contig_8.region001,StCNB476_BA_c8_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SaCNY244_FJ.contig_12.region001,SaCNY244_FJ_c12_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNY330_SC.contig_5.region001,SpCNY330_SC_c5_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNY363_SC.contig_4.region001,SpCNY363_SC_c4_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNT796_HI.contig_6.region001,SpCNT796_HI_c6_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNB458_BA.contig_19.region001,SaCNB458_BA_c19_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNY234_FJ.contig_15.region001,SaCNY234_FJ_c15_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNT800_HI.contig_23.region001,SaCNT800_HI_c23_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNX814_PM.contig_14.region001,SaCNX814_PM_c14_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNS744_FJ.contig_25.region001,SaCNS744_FJ_c25_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNT005_FJ.contig_29.region001,SaCNT005_FJ_c29_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNS299_PL.contig_26.region001,SaCNS299_PL_c26_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNY694_YU.contig_28.region001,SaCNY694_YU_c28_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNT857_HI.contig_10.region001,SaCNT857_HI_c10_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNH646_BA.contig_23.region001,SaCNH646_BA_c23_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SaCNY011_BA.contig_28.region001,SaCNY011_BA_c28_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SaCNY280_FJ.contig_27.region001,SaCNY280_FJ_c27_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SpCNT029_FJ.contig_2.region001,SpCNT029_FJ_c2_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
StCNT261_BA.contig_15.region001,StCNT261_BA_c15_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SaCNH962_SC.contig_50.region001,SaCNH962_SC_c50_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNY666_MD.contig_8.region001,SpCNY666_MD_c8_001,goodfellowii,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNT854_HI.contig_56.region001,SpCNT854_HI_c56_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNQ768_GU.contig_12.region001,SpCNQ768_GU_c12_001,pacifica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
StCNS197_BA.contig_5.region001,StCNS197_BA_c5_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SpCNS055_PL.contig_5.region001,SpCNS055_PL_c5_001,vitiensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNR894_PL.contig_8.region001,SpCNR894_PL_c8_001,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SpCNT045_FJ.contig_12.region001,SpCNT045_FJ_c12_001,oceanensis,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
SaCNH877_BA.contig_28.region001,SaCNH877_BA_c28_001,arenicola,M10_GCF3070,PKSother,T3PKS,M10,GCF3070
SpDSM45544_FJ.contig_0.region016,SpDSM45544_FJ_c0_016,pacifica,M10_GCF3564,PKSother,T3PKS,M10,GCF3564
StCNR699_BA.contig_13.region001,StCNR699_BA_c13_001,tropica,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
SaCNT799_HI.contig_29.region001,SaCNT799_HI_c29_001,arenicola,M10_GCF3040,PKSother,T3PKS,M10,GCF3040
SpCNT569_FJ.contig_9.region001,SpCNT569_FJ_c9_001,fenicalii,M10_GCF4607,PKSother,T3PKS,M10,GCF4607
